mode,num_episodes,avg_stability_rate,avg_perfection_rate,avg_isolation_occurrence_rate,avg_robot_utterance_count,avg_first_stable_utterance,avg_first_perfect_utterance,avg_oscillation_count,avg_consecutive_unstable_max,avg_edge_score,avg_positive_ratio,avg_intervention_success_rate,avg_intervention_reversal_rate,avg_improvement_per_intervention,avg_intervention_frequency,early_termination_count,early_termination_rate
proposal,5,0.6799999999999999,0.5199999999999999,0.3295238095238095,7.2,9.0,15.75,1.2,4.2,0.06743379984024132,0.5555555555555556,0.8025974025974026,0.25216450216450215,0.21652198434090053,0.24349206349206348,4,0.8
few_utterances,5,0.6533333333333333,0.5066666666666666,0.33904761904761904,14.2,13.8,19.5,1.6,4.2,0.07021894132199283,0.6006349206349206,0.0,0.0,0.0,0.7162393162393161,4,0.8
random_target,5,0.5733333333333333,0.49333333333333335,0.33636363636363636,14.2,14.4,20.25,1.0,5.0,0.05196556914323952,0.5509764309764309,0.0,0.0,0.0,0.6218855218855219,4,0.8
