Rank,LLM_MODEL,GAMMA,MAX_HISTORY_SESSIONS,MAX_HISTORY_HUMAN,Episode1_MAE_Avg,Episode1_MAE_Std,Episode1_Pearson_Avg,Episode1_Pearson_Std,Episode2_MAE_Avg,Episode2_MAE_Std,Episode2_Pearson_Avg,Episode2_Pearson_Std,Overall_MAE_Avg,Overall_Pearson_Avg
1,gpt-5-chat,0.6,3,6,0.07375451404829787,0.0,0.9757290880157219,0.0,0.15852618404474358,0.0,0.9285431971774394,0.0,0.11614034904652074,0.9521361425965806
2,gpt-5-chat,0.65,2,6,0.08580610410836154,0.0,0.9753644939595775,0.0,0.1565183371535362,0.0,0.9289665503828192,0.0,0.12116222063094886,0.9521655221711983
3,gpt-5-chat,0.65,3,6,0.07040287517715763,0.0,0.9718775952512168,0.0,0.17279989269690665,0.0,0.9224679711247723,0.0,0.12160138393703214,0.9471727831879946
4,gpt-5-chat,0.75,2,6,0.07939694475399209,0.0,0.9636981892253966,0.0,0.1709242934191213,0.0,0.9241923785136088,0.0,0.12516061908655668,0.9439452838695027
5,gpt-4.1,0.6,3,6,0.08927071621780332,0.0,0.9542861188338744,0.0,0.16220273712511107,0.0,0.9149535570513607,0.0,0.1257367266714572,0.9346198379426176
6,gpt-4.1,0.65,2,6,0.08316985552963962,0.0,0.9615832365620676,0.0,0.17019115478974703,0.0,0.9099244959179705,0.0,0.1266805051596933,0.9357538662400191
7,gpt-4.1,0.7,2,6,0.08810977926787004,0.0,0.9556342876831225,0.0,0.16749210565930542,0.0,0.9119194095126283,0.0,0.12780094246358772,0.9337768485978755
8,gpt-4.1,0.65,3,6,0.09420178220641902,0.0,0.9495774000377766,0.0,0.17582224729798968,0.0,0.9019507253598046,0.0,0.13501201475220434,0.9257640626987906
9,gpt-4.1,0.75,2,6,0.09304764658676706,0.0,0.9481407014403104,0.0,0.17725493239819587,0.0,0.9026061268529205,0.0,0.13515128949248145,0.9253734141466154
