episode_id,mode,topic,topic_trigger,trigger_type,human_utterance_count,robot_utterance_count,early_termination,final_stable,final_perfect,final_unstable_triads,final_isolated_nodes,duration_seconds,stability_rate,perfection_rate,isolation_occurrence_rate,first_stable_utterance,first_perfect_utterance,robot_interventions_until_first_stable,robot_interventions_until_first_perfect,oscillation_count,consecutive_unstable_max,avg_edge_score,avg_positive_ratio,intervention_success_rate,avg_improvement_per_intervention,intervention_frequency,stable_rate_per_intervention,perfect_rate_per_intervention,interventions_per_stable,interventions_per_perfect
1,few_utterances,人類が火星に移住する可能性,宇宙,two_person,30,8,True,True,True,0,0,46.1692,0.4666666666666667,0.4666666666666667,0.0,27,27,8,8,1,8,0.21106179885685142,0.7333333333333333,0.0,0.0,0.26666666666666666,0.875,0.875,8,8
1,proposal,人類が火星に移住する可能性,宇宙,two_person,21,5,True,True,True,0,0,32.568372,0.6666666666666666,0.6666666666666666,0.0,18,18,5,5,1,5,0.16184204484078865,0.7142857142857143,1.0,0.16591310713013124,0.23809523809523808,2.0,2.0,5,5
1,random_target,人類が火星に移住する可能性,宇宙,two_person,33,7,True,True,True,0,0,44.556335,0.5333333333333333,0.4,0.18181818181818182,3,30,0,7,2,7,0.0412491791630242,0.6666666666666666,0.0,0.0,0.21212121212121213,1.1428571428571428,0.8571428571428571,0,7
2,few_utterances,テレワークでの生産性向上の工夫,仕事,all_common,6,0,True,True,True,0,0,8.70318,1.0,1.0,0.0,3,3,0,0,0,0,0.5648148148148149,1.0,0.0,0.0,0.0,0.0,0.0,0,0
2,proposal,テレワークでの生産性向上の工夫,仕事,all_common,6,0,True,True,True,0,0,8.706889,1.0,1.0,0.0,3,3,0,0,0,0,0.8000000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0,0
2,random_target,テレワークでの生産性向上の工夫,仕事,all_common,6,0,True,True,True,0,0,9.625695,1.0,1.0,0.0,3,3,0,0,0,0,0.8000000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0,0
3,few_utterances,旅先での文化の違い体験,旅行,two_person,18,2,True,True,True,0,0,23.0421,0.8666666666666667,0.7333333333333333,0.3333333333333333,3,15,0,2,2,2,0.04456063175992667,0.6666666666666666,0.0,0.0,0.1111111111111111,6.5,5.5,0,2
3,proposal,旅先での文化の違い体験,旅行,two_person,18,3,True,True,True,0,0,25.701275,0.8,0.7333333333333333,0.16666666666666666,3,15,0,3,2,3,0.07875427398205614,0.7222222222222222,1.0,0.3006734674392814,0.16666666666666666,4.0,3.6666666666666665,0,3
