mode,num_episodes,avg_stability_rate,avg_perfection_rate,avg_isolation_occurrence_rate,avg_robot_utterance_count,avg_first_stable_utterance,avg_first_perfect_utterance,avg_oscillation_count,avg_consecutive_unstable_max,avg_edge_score,avg_positive_ratio,avg_intervention_success_rate,avg_intervention_reversal_rate,avg_improvement_per_intervention,avg_intervention_frequency,early_termination_count,early_termination_rate
proposal,3,0.4222222222222222,0.2222222222222222,0.6476190476190476,11.666666666666666,6.0,18.0,2.0,7.333333333333333,-0.21060998222457608,0.3185185185185185,0.5476190476190476,0.18095238095238098,0.05991800483951639,0.30158730158730157,1,0.3333333333333333
few_utterances,3,0.35555555555555557,0.2888888888888889,0.39999999999999997,14.0,17.0,28.5,1.6666666666666667,9.333333333333334,-0.1329225297301796,0.4296296296296296,0.0,0.0,0.0,0.5037037037037037,1,0.3333333333333333
random_target,3,0.7777777777777778,0.6,0.37777777777777777,13.666666666666666,4.0,7.5,2.0,2.3333333333333335,0.22112272369741906,0.637037037037037,0.0,0.0,0.0,1.122222222222222,2,0.6666666666666666
