mode,num_episodes,avg_stability_rate,avg_perfection_rate,avg_isolation_occurrence_rate,avg_robot_utterance_count,avg_first_stable_utterance,avg_first_perfect_utterance,avg_oscillation_count,avg_consecutive_unstable_max,avg_edge_score,avg_positive_ratio,avg_intervention_success_rate,avg_intervention_reversal_rate,avg_improvement_per_intervention,avg_intervention_frequency,early_termination_count,early_termination_rate
proposal,2,0.7666666666666666,0.6666666666666666,0.35416666666666663,5.0,9.0,18.0,1.5,3.0,0.030605736356759016,0.5347222222222222,1.0,0.5333333333333333,0.1885533514969348,0.2361111111111111,2,1.0
few_utterances,2,0.9,0.7666666666666666,0.2857142857142857,14.0,6.0,13.5,1.5,1.0,-0.010341531804142025,0.5773809523809523,0.0,0.0,0.0,0.9166666666666667,2,1.0
random_target,2,0.6,0.3,0.6333333333333333,14.5,4.5,27.0,2.5,4.5,-0.09763225412715092,0.41481481481481475,0.0,0.0,0.0,0.42592592592592593,1,0.5
