Rank,LLM_MODEL,GAMMA,MAX_HISTORY_SESSIONS,MAX_HISTORY_HUMAN,MAE_Episode1,Pearson_Episode1,MAE_Episode2,Pearson_Episode2,MAE_Avg,Pearson_Avg
1,gpt-5-chat,0.6,3,6,0.07467486059271959,0.972450007654453,0.1512919376054852,0.9329051395106347,0.1129833990991024,0.9526775735825439
2,gpt-4.1,0.6,3,6,0.08133192338420055,0.9612897689566684,0.14723892519924953,0.9288838087872643,0.11428542429172503,0.9450867888719663
3,gpt-4.1,0.65,3,6,0.08728931356745513,0.9579224202291405,0.1448399498613883,0.9290008910731884,0.11606463171442172,0.9434616556511645
4,gpt-4.1,0.65,2,6,0.08514849331335596,0.9626498468470235,0.1490486129085398,0.9283556422410396,0.11709855311094788,0.9455027445440316
5,gpt-4.1,0.75,2,6,0.09078832516108588,0.9500133102347192,0.14786246011961618,0.9299691373336345,0.11932539264035102,0.9399912237841769
6,gpt-5-chat,0.65,2,6,0.08411921920956689,0.972507990555624,0.15504333716370014,0.9309343733997618,0.11958127818663351,0.951721181977693
7,gpt-4.1,0.95,2,3,0.09944065911212528,0.9668758888853168,0.14011267360145793,0.9428905341198399,0.1197766663567916,0.9548832115025784
8,gpt-5-chat,0.65,3,6,0.07526243093000451,0.9679692835370972,0.16479465117361947,0.929072991177537,0.12002854105181199,0.9485211373573171
9,gpt-5-chat,0.75,2,6,0.08032494198674237,0.9636552511097207,0.16024054365436946,0.931655110947048,0.12028274282055591,0.9476551810283844
10,gpt-4.1,0.7,2,6,0.08882600186576411,0.9533657093130318,0.1519294077293733,0.9263464848397096,0.12037770479756871,0.9398560970763707
11,gpt-4.1,0.7,3,3,0.08178213179946058,0.9853294449849932,0.15933794382223354,0.9290378761276371,0.12056003781084706,0.9571836605563151
12,gpt-4.1,0.75,3,3,0.0810529641217398,0.9833848632523496,0.16227248030542205,0.92710206141668,0.12166272221358093,0.9552434623345147
13,gpt-5-chat,0.55,3,6,0.09216049440767624,0.9810279674808365,0.15136123703697413,0.9306956841336573,0.12176086572232518,0.9558618258072469
14,gpt-5-chat,0.6,2,6,0.09509832181016525,0.9777804862071812,0.14894264922203845,0.9322140538425031,0.12202048551610185,0.9549972700248421
15,gpt-4.1,0.55,3,6,0.09272567748178985,0.9607633256310187,0.15174245524171817,0.9226602820123019,0.12223406636175402,0.9417118038216603
16,gpt-4.1,0.8,3,3,0.09256507143652909,0.9753359810850729,0.1533362987176525,0.9300154389314186,0.1229506850770908,0.9526757100082457
17,gpt-5-chat,0.8,2,6,0.08957550181214839,0.9535582469795189,0.1578364137145781,0.9370238529337472,0.12370595776336324,0.945291049956633
18,gpt-5-chat,0.7,3,3,0.10595147447631786,0.9467072565059547,0.14212063919219495,0.9393854672311257,0.1240360568342564,0.9430463618685402
19,gpt-4.1,0.85,3,3,0.10492555794672621,0.9689347552898705,0.1438188967249134,0.9355267202861696,0.12437222733581982,0.95223073778802
20,gpt-4.1,0.9,2,3,0.102909200330653,0.9703299613846906,0.14609286510168287,0.9353093080915512,0.12450103271616794,0.9528196347381209
21,gpt-4.1,0.8,2,6,0.0989852860220306,0.9470872934459346,0.15004315586729478,0.9276278403837833,0.12451422094466269,0.9373575669148589
22,gpt-4.1,0.8,2,3,0.08747127664774282,0.9817411405725635,0.16186214167192603,0.9289424849724932,0.12466670915983442,0.9553418127725284
23,gpt-5-chat,0.8,2,3,0.10629078621970639,0.9435200752559084,0.14322797401157283,0.9401928661403817,0.12475938011563961,0.941856470698145
24,gpt-4.1,0.6,2,6,0.09531981490799225,0.9593717301285474,0.154832377828865,0.9239100630791308,0.12507609636842862,0.9416408966038391
25,gpt-5-chat,0.7,2,6,0.08344208735634336,0.9648163404436725,0.16759918618645575,0.9282744435753182,0.12552063677139955,0.9465453920094953
26,gpt-4.1,0.7,3,6,0.10162293504057218,0.9503436848449058,0.14952032934075468,0.929008231612826,0.12557163219066342,0.9396759582288658
27,gpt-5-chat,0.75,3,3,0.10484739183275987,0.9487581434257104,0.14724497347030707,0.9365405619929008,0.12604618265153347,0.9426493527093056
28,gpt-4.1,0.55,2,6,0.09747198329522183,0.9671836646397924,0.15503367032555404,0.9221511097886074,0.12625282681038794,0.9446673872142
29,gpt-5-chat,0.7,2,3,0.10425553766780199,0.9519260450633111,0.1483013687168177,0.940366071477559,0.12627845319230985,0.9461460582704351
30,gpt-4.1,0.85,2,3,0.09135031890168333,0.9767061151969578,0.16147039519209103,0.9298571387421376,0.1264103570468872,0.9532816269695477
31,gpt-5-chat,0.85,2,3,0.12377135459355647,0.9308256371857994,0.12949346595075717,0.9502627751031951,0.12663241027215683,0.9405442061444973
32,gpt-5-chat,0.5,3,6,0.10450984674779544,0.980767917974892,0.1499192800358612,0.9306793531337824,0.12721456339182832,0.9557236355543373
33,gpt-5-chat,0.65,3,3,0.10038419121716985,0.9534166488224188,0.15475166828172046,0.9324843060223098,0.12756792974944514,0.9429504774223643
34,gpt-4.1,0.5,3,6,0.09839781487713108,0.9704726135720068,0.15678592318694884,0.9206000105286111,0.12759186903203995,0.9455363120503089
35,gpt-5-chat,0.7,3,6,0.08381237198648833,0.9558176873573694,0.17218699538316756,0.9262598526070901,0.12799968368482795,0.9410387699822298
36,gpt-4.1,0.85,2,6,0.11101987911753126,0.941404902404189,0.14545544185021775,0.9359557266804815,0.1282376604838745,0.9386803145423352
37,gpt-4.1,0.9,3,3,0.11449407810298842,0.9667666014757226,0.142098737366695,0.9393481961484879,0.12829640773484172,0.9530573988121052
38,gpt-5-chat,0.85,2,6,0.0906407698735177,0.9503898046251776,0.16650498543680403,0.9311992850987597,0.12857287765516087,0.9407945448619687
39,gpt-4.1,0.75,2,3,0.09069432386260473,0.9846959682700005,0.16723733021455456,0.9271317528021134,0.12896582703857964,0.9559138605360569
40,gpt-5-chat,0.95,2,3,0.1304433487402562,0.9317533237343092,0.1284252323735084,0.9522010329876783,0.1294342905568823,0.9419771783609938
41,gpt-5-chat,0.55,2,6,0.10435578621506734,0.9800099046621001,0.15534337348857277,0.92830670397572,0.12984957985182005,0.9541583043189101
