episode_id,mode,topic,topic_trigger,trigger_type,human_utterance_count,robot_utterance_count,early_termination,final_stable,final_perfect,final_unstable_triads,final_isolated_nodes,duration_seconds,stability_rate,perfection_rate,isolation_occurrence_rate,first_stable_utterance,first_perfect_utterance,robot_interventions_until_first_stable,robot_interventions_until_first_perfect,oscillation_count,consecutive_unstable_max,avg_edge_score,avg_positive_ratio,intervention_success_rate,avg_improvement_per_intervention,intervention_frequency,stable_rate_per_intervention,perfect_rate_per_intervention,interventions_per_stable,interventions_per_perfect
1,few_utterances,人類が火星に移住する現実性,宇宙,two_person,39,10,True,True,True,0,0,55.161587,0.3333333333333333,0.3333333333333333,0.0,27,27,8,8,3,8,0.11856721812693921,0.7435897435897437,0.0,0.0,0.2564102564102564,0.5,0.5,8,8
1,proposal,人類が火星に移住する現実性,宇宙,two_person,24,6,True,True,True,0,0,34.400089,0.6666666666666666,0.6,0.125,3,21,0,6,2,5,0.10404864870861644,0.7083333333333333,1.0,0.1963710943034419,0.25,1.6666666666666667,1.5,0,6
1,random_target,人類が火星に移住する現実性,宇宙,two_person,24,6,True,True,True,0,0,29.113491,0.6,0.6,0.0,21,21,6,6,1,6,0.07210790517961335,0.75,0.0,0.0,0.25,1.5,1.5,6,6
2,few_utterances,海外で感じた文化の違い,国際・異文化,two_person,33,8,True,True,True,0,0,45.301191,0.4666666666666667,0.4666666666666667,0.0,21,21,6,6,3,6,0.30407912851918656,0.7575757575757577,0.0,0.0,0.24242424242424243,0.875,0.875,6,6
2,proposal,海外で感じた文化の違い,国際・異文化,two_person,21,5,True,True,True,0,0,28.618468,0.6666666666666666,0.6666666666666666,0.0,18,18,5,5,1,5,0.1272364750465845,0.7142857142857143,0.8,0.18526950470259693,0.23809523809523808,2.0,2.0,5,5
2,random_target,海外で感じた文化の違い,国際・異文化,two_person,24,6,True,True,True,0,0,28.956934,0.8,0.6,0.375,3,21,0,6,2,3,0.021421824062007967,0.625,0.0,0.0,0.25,2.0,1.5,0,6
3,few_utterances,AIキャラクターが登場するアニメの増加,アニメ,two_person,45,15,False,False,False,1,0,77.419926,0.0,0.0,0.0,0,0,0,0,0,15,-0.022467088500227172,0.6222222222222221,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
3,proposal,AIキャラクターが登場するアニメの増加,アニメ,two_person,45,14,False,True,True,0,0,79.110328,0.06666666666666667,0.06666666666666667,0.0,45,45,14,14,1,14,-0.03890148680296678,0.6444444444444444,0.42857142857142855,0.054179387725556256,0.3111111111111111,0.07142857142857142,0.07142857142857142,14,14
3,random_target,AIキャラクターが登場するアニメの増加,アニメ,two_person,24,6,True,True,True,0,0,31.374556,0.6,0.6,0.0,21,21,6,6,1,6,0.11633672987020449,0.6666666666666666,0.0,0.0,0.25,1.5,1.5,6,6
